,OBJECTID_x,TRACT,TRACTCE10,GEOID10,NAME10,NAMELSAD10_x,ACRES_TOTAL,WATER,SHAPE_Length,SHAPE_Area,OBJECTID_y,NAMELSAD10_y,ACRES_LAND,ACRES_WATER,TOTAL_POPULATION,MEDIAN_AGE,NOT_HISPANIC_LATINO_WHITE_ONE,PCT_NOTHISP_WHITE_ONE,NOTHISPLATINO_BLKAFRCNAMER_ONE,PCT_NOTHISP_BLACK_ONE,NOTHISPLATINO_AMINDALSKNTV_ONE,PCT_NOTHISP_AMIAK_ONE,NOTHISPLATINO_ASIAN_ONE,PCT_NOTHISP_ASIAN_ONE,NOTHISPLATINO_NHAWAIIOTHPI_ONE,PCT_NOTHISP_PI_ONE,NOTHISPLATINO_SOME_OTHER_ONE,PCT_NOTHISP_OTHER_ONE,NOTHISPLATINO_TWO_OR_MORE_RACE,PCT_NOTHISP_TWO_ONE,HISPANIC_OR_LATINO_OF_ANY_RACE,PCT_HISP_ANY_RACE,POPULATION_IN_HOUSEHOLDS,PCT_POP_IN_HH,POPULATION_IN_GQ,PCT_POP_IN_GQ,HOUSEHOLDS,FAMILY_HOUSEHOLDS,PCT_FAM_HH,NONFAMILY_HOUSEHOLDS,PCT_NON_FAM_HH,AVERAGE_HOUSEHOLD_SIZE,TOTAL_HOUSING_UNITS,OCCUPIED_HOUSING_UNITS,PCT_OCC_HU,VACANT_HOUSING_UNITS,PCT_VACANT_HU,OWNER_OCCUPIED_HOUSING_UNITS,PCT_OWN_OCC_HU,RENTER_OCCUPIED_HOUSING_UNITS,PCT_RENT_OCC_HU,HIGH_SCHOOL_GRADUATE,BACHELOR_DEGREE,PCNT_HIGHSCHOOL_GRAD_OR_HIGHER,PCT_BACHELOR_DEGREE_OR_HIGHER,POPULATION_5_YEARS_AND_OVER,SPEAK_ENGLISH_LESSTHANVERYWELL,PCT_SP_ENG_LESS_THAN_VERYWELL,MEDIAN_HH_INC_PAST_12MO_DOLLAR,PCT_POPULATION_UNDER_POVERTY,PCT_ALL_FAMILY_UNDER_POVERTY,POP_POVERTY_STATUS_DETERMINED,POP_200_PCT_BELOW_POVERTY,PCT_POP_200_PCT_BELOW_POVERTY,PERSON_OF_COLOR,POPULATION_UNDER_18,SPEAK_LANGUAGE_OTHTHAN_ENGLISH,PCT_SPEAK_OTH_THAN_ENGLISH,PCT_POP_UNDER_18,PCT_PERSON_OF_COLOR,HU_VALUE_LESS_THAN_50_000,HU_VALUE_50_000_TO_99_999,HU_VALUE_100_000_TO_149_999,HU_VALUE_150_000_TO_199_999,HU_VALUE_200_000_TO_299_999,HU_VALUE_300_000_TO_499_999,HU_VALUE_500_000_TO_999_999,HU_VALUE_1_000_000_OR_MORE,HU_VALUE_MEDIAN_DOLLARS,WITH_MORTGAGE_SMOCAPI_COMPUTED,WITH_MORTGAGE_SMOCAPI_LESS_20,WITHMORTGAGESMOCAPI_20_TO_24_9,WITHMORTGAGESMOCAPI_25_TO_29_9,WITHMORTGAGESMOCAPI_30_TO_34_9,WITHMORTGAGESMOCAPI_35_OR_MORE,WITHMORTGAGESMOCAPINOTCOMPUTED,MEDIAN_GROSS_RENT,RENT_GRAPI_COMPUTED,GRAPI_LESS_THAN_15_0,GRAPI_15_0_TO_19_9,GRAPI_20_0_TO_24_9,GRAPI_25_0_TO_29_9,GRAPI_30_0_TO_34_9,GRAPI_35_0_OR_MORE,GRAPI_NOT_COMPUTED,CIVILIAN_LABOR_FORCE,CIVILIAN_LABOR_FORCE_EMPLOYED,CIVILIAN_LABOR_FORCE_UNEMPLOYD,NOT_IN_LABOR_FORCE,HH_INCOME_LESS_THAN_10_000,HH_INCOME_10_000_TO_14_999,HH_INCOME_15_000_TO_24_999,HH_INCOME_25_000_TO_34_999,HH_INCOME_35_000_TO_49_999,HH_INCOME_50_000_TO_74_999,HH_INCOME_75_000_TO_99_999,HH_INCOME_100_000_TO_149_999,HH_INCOME_150_000_TO_199_999,HH_INCOME_200_000_OR_MORE,PERCENT_UNEMPLOYED,POP_DENSITY_ACRE,HU_DENSITY_ACRE,HH_DENSITY_ACRE,SHAPEAREA,SHAPELEN,PERCENT_GRAPI_35_OR_MORE,PERC_SMOCAPI_W_MORT_35_OR_MORE,income_quintile
0,1,2500,2500,53033002500,25.0,Census Tract 25,243.21908274,0,16442.9684017039,10594623.244072,98,Census Tract 25,243.22005562,0.0,3316,39.5,2720,82.0,39,1.2,9,0.3,208,6.3,0,0.0,0,0.0,234,7.1,106,3.2,3316,100.0,0,0.0,1311,745,56.8,566,43.2,2.53,1333,1311,98.3,22,1.7,917,69.9,394,30.1,189,1042,99.2,74.4,3174,57,1.8,107401,8.3,2.1,3316,629,19.0,596,651,340,10.7,19.6,18.0,7,0,0,0,6,368,524,12,551900.0,627,271,91,72,58,135,7,1686.0,368,23,59,83,37,9,157,26,1902,1847,55,801,88,36,43,70,104,89,116,391,156,218,2.9,13.63,5.48,5.39,0,0,42.7,21.5,top
1,2,2600,2600,53033002600,26.0,Census Tract 26,307.58442044,0,15936.137058303899,13398377.3541715,32,Census Tract 26,300.62345667,6.96219411,5061,37.4,4093,80.9,58,1.1,0,0.0,394,7.8,0,0.0,24,0.5,252,5.0,240,4.7,5054,99.9,7,0.1,1935,1219,63.0,716,37.0,2.61,2103,1935,92.0,168,8.0,1337,69.1,598,30.9,223,1391,100.0,73.7,4686,86,1.8,106193,11.7,7.5,5061,881,17.4,968,1093,548,11.7,21.6,19.1,0,0,9,0,14,348,911,55,612000.0,1000,376,189,150,47,238,0,1654.0,566,48,65,39,79,107,228,32,2942,2811,131,1073,73,58,73,37,93,343,207,470,278,303,4.5,16.84,7.0,6.44,0,0,40.3,23.8,top
2,3,5600,5600,53033005600,56.0,Census Tract 56,737.51172746,0,30337.2943538308,32126010.8481221,55,Census Tract 56,737.5146926,392.22839442,6875,47.4,5780,84.1,17,0.2,0,0.0,332,4.8,70,1.0,28,0.4,370,5.4,278,4.0,6868,99.9,7,0.1,2678,2033,75.9,645,24.1,2.56,2782,2678,96.3,104,3.7,2510,93.7,168,6.3,209,2004,97.7,76.7,6548,164,2.5,167368,2.1,1.1,6875,307,4.5,1095,1562,705,10.8,22.7,15.9,0,22,0,0,66,279,1308,835,836400.0,1652,830,251,174,104,293,0,2509.0,168,49,18,20,13,19,49,0,3486,3318,168,1910,38,15,89,0,128,312,125,459,502,1010,4.8,9.32,3.77,3.63,0,0,29.2,17.7,top
3,4,6800,6800,53033006800,68.0,Census Tract 68,177.43877075,0,11275.3764903467,7729232.85385377,68,Census Tract 68,177.43948051,0.0,3308,37.4,2803,84.7,0,0.0,0,0.0,257,7.8,0,0.0,0,0.0,140,4.2,108,3.3,3308,100.0,0,0.0,1389,793,57.1,596,42.9,2.38,1522,1389,91.3,133,8.7,669,48.2,720,51.8,117,1154,99.7,81.8,3165,89,2.8,117067,6.3,3.5,3308,363,11.0,505,729,453,14.3,22.0,15.3,12,0,0,0,5,29,402,221,872200.0,521,256,83,29,32,121,0,1723.0,720,61,167,106,193,30,163,0,1960,1905,55,656,34,9,53,67,45,252,167,257,139,366,2.8,18.64,8.58,7.83,0,0,22.6,23.2,top
4,5,6000,6000,53033006000,60.0,Census Tract 60,324.56743167,0,19729.922874753,14138157.323433701,69,Census Tract 60,324.56871944,37.13474955,5785,34.5,4624,79.9,32,0.6,172,3.0,296,5.1,1,0.0,15,0.3,433,7.5,212,3.7,5608,96.9,177,3.1,2595,1178,45.4,1417,54.6,2.16,2814,2595,92.2,219,7.8,1337,51.5,1258,48.5,222,1588,98.4,72.2,5552,43,0.8,101680,8.0,0.0,5608,892,15.9,1161,697,521,9.4,12.0,20.1,25,0,0,64,76,164,570,438,776600.0,922,497,95,121,141,68,0,1562.0,1258,123,189,211,204,206,325,0,4157,4036,121,996,35,16,101,82,168,441,433,489,154,676,2.9,17.82,8.67,8.0,0,0,25.8,7.4,second
5,6,5900,5900,53033005900,59.0,Census Tract 59,447.91950792,0,24649.766670549197,19511373.7651016,62,Census Tract 59,447.92129825,42.9689076,7975,29.3,6299,79.0,185,2.3,18,0.2,660,8.3,0,0.0,60,0.8,498,6.2,255,3.2,6544,82.1,1431,17.9,2771,1491,53.8,1280,46.2,2.36,2905,2771,95.4,134,4.6,1723,62.2,1048,37.8,250,1995,100.0,78.0,7590,113,1.5,103369,12.4,4.0,6553,1115,17.0,1676,1032,671,8.8,12.9,21.0,40,0,0,23,75,153,1020,412,710100.0,1272,595,180,181,37,279,0,1545.0,1048,189,97,98,73,170,421,0,5093,4781,312,1879,125,14,168,73,252,404,306,333,324,772,6.1,17.8,6.49,6.19,0,0,40.2,21.9,second
6,8,5700,5700,53033005700,57.0,Census Tract 57,1229.15600248,0,44813.5428417101,53542035.4679839,56,Census Tract 57,1229.16081863,567.3139237,6816,41.4,5489,80.5,85,1.2,22,0.3,636,9.3,0,0.0,15,0.2,187,2.7,382,5.6,6816,100.0,0,0.0,2850,1871,65.6,979,34.4,2.39,3024,2850,94.2,174,5.8,2012,70.6,838,29.4,428,2122,99.3,67.7,6356,172,2.7,111974,4.1,1.7,6816,636,9.3,1327,1456,915,14.4,21.4,19.5,19,15,0,18,22,419,1284,235,646900.0,1606,775,202,198,116,315,0,1391.0,818,71,148,169,131,54,245,20,3976,3866,110,1541,15,36,134,56,265,396,294,533,533,588,2.8,5.55,2.46,2.32,0,0,30.0,19.6,top
7,9,4900,4900,53033004900,49.0,Census Tract 49,270.63279041,0,16136.344174432099,11788764.3502774,71,Census Tract 49,270.63387449,6.25794377,7429,30.6,6473,87.1,19,0.3,25,0.3,289,3.9,0,0.0,0,0.0,396,5.3,227,3.1,7323,98.6,106,1.4,3754,1038,27.7,2716,72.3,1.95,3859,3754,97.3,105,2.7,809,21.6,2945,78.4,337,2874,97.9,75.0,7164,69,1.0,77075,5.1,1.6,7325,1360,18.6,956,465,716,10.0,6.3,12.9,16,0,0,0,54,248,473,18,559400.0,585,322,105,54,52,52,0,1429.0,2914,474,596,388,441,338,677,31,6123,5922,201,856,101,33,25,242,637,751,542,681,309,433,3.3,27.45,14.26,13.87,0,0,23.2,8.9,middle
8,10,5801,5801,53033005801,58.01,Census Tract 58.01,449.98414502,0,26367.9369935514,19601309.357184302,58,Census Tract 58.01,449.98593883,74.56256608,5344,36.2,4041,75.6,348,6.5,20,0.4,222,4.2,0,0.0,0,0.0,252,4.7,461,8.6,5307,99.3,37,0.7,2758,1004,36.4,1754,63.6,1.92,2923,2758,94.4,165,5.6,1033,37.5,1725,62.5,462,1602,96.6,55.5,5122,219,4.3,75523,7.5,3.8,5302,912,17.2,1303,774,763,14.9,14.5,24.4,0,23,115,50,139,152,516,38,527900.0,893,321,173,96,69,234,0,1455.0,1673,90,257,259,427,165,475,52,3908,3780,128,757,31,20,214,203,315,559,504,507,204,201,3.3,11.88,6.5,6.13,0,0,28.4,26.2,middle
9,11,4800,4800,53033004800,48.0,Census Tract 48,330.28224693,0,18725.1423901596,14387094.6762871,65,Census Tract 48,330.28357329,10.26846411,5136,34.6,4300,83.7,38,0.7,16,0.3,329,6.4,0,0.0,15,0.3,317,6.2,121,2.4,5136,100.0,0,0.0,2202,1108,50.3,1094,49.7,2.33,2414,2202,91.2,212,8.8,1323,60.1,879,39.9,239,1794,99.3,75.8,4957,61,1.2,112328,3.6,0.0,5136,596,11.6,836,735,669,13.5,14.3,16.3,0,0,15,15,37,363,829,64,612800.0,993,407,186,68,80,252,0,1734.0,869,134,304,184,73,54,120,10,3690,3537,153,743,16,12,68,140,167,286,175,640,257,441,4.1,15.55,7.31,6.67,0,0,13.8,25.4,top
10,12,4700,4700,53033004700,47.0,Census Tract 47,490.84574314,0,22313.9948711802,21381240.5710746,60,Census Tract 47,490.84921481,87.24994477,8649,34.3,6745,78.0,158,1.8,0,0.0,836,9.7,0,0.0,0,0.0,591,6.8,319,3.7,8611,99.6,38,0.4,5328,1417,26.6,3911,73.4,1.62,5580,5328,95.5,252,4.5,1456,27.3,3872,72.7,619,3905,97.5,72.6,8362,260,3.1,79162,7.0,0.0,8649,1342,15.5,1904,671,1175,14.1,7.8,22.0,0,36,0,0,89,485,785,61,543200.0,1198,685,144,246,61,62,0,1542.0,3689,495,539,384,635,427,1209,183,6313,5989,324,1736,298,160,356,321,451,882,1048,847,256,709,5.1,17.62,11.37,10.85,0,0,32.8,5.2,middle
11,14,3200,3200,53033003200,32.0,Census Tract 32,510.29345855,0,33766.8661128842,22228383.0545001,57,Census Tract 32,510.28904626,250.74722011,8504,37.3,7027,82.6,54,0.6,33,0.4,323,3.8,0,0.0,0,0.0,297,3.5,770,9.1,8504,100.0,0,0.0,4251,1907,44.9,2344,55.1,2.0,4413,4251,96.3,162,3.7,2105,49.5,2146,50.5,450,3000,99.2,72.0,8073,148,1.8,79141,9.6,9.2,8504,1322,15.5,1477,1245,651,8.1,14.6,17.4,14,0,0,0,66,509,1275,241,660500.0,1506,604,317,55,91,439,0,1300.0,2129,114,476,499,182,168,690,17,5648,5422,226,1731,201,146,148,231,567,689,643,737,419,470,4.0,16.67,8.65,8.33,0,0,32.4,29.2,middle
12,15,3500,3500,53033003500,35.0,Census Tract 35,317.45244839,0,16634.3481234398,13828228.6518199,70,Census Tract 35,317.4537182,0.0,4051,39.7,3414,84.3,39,1.0,1,0.0,299,7.4,11,0.3,0,0.0,183,4.5,104,2.6,3988,98.4,63,1.6,1881,946,50.3,935,49.7,2.12,1943,1881,96.8,62,3.2,1052,55.9,829,44.1,163,1264,99.0,79.6,3882,97,2.5,90066,8.8,4.7,4007,534,13.3,637,651,320,8.2,16.1,15.7,0,7,11,8,17,143,706,160,754000.0,748,329,107,88,70,154,0,1383.0,819,76,150,137,143,83,230,10,2537,2483,54,921,97,38,35,117,192,296,215,336,223,332,2.1,12.76,6.12,5.93,0,0,28.1,20.6,middle
13,16,3400,3400,53033003400,34.0,Census Tract 34,194.49775167,0,12629.3222581997,8472322.06274561,66,Census Tract 34,194.49852966,0.0,3661,36.5,3102,84.7,50,1.4,17,0.5,232,6.3,0,0.0,23,0.6,155,4.2,82,2.2,3661,100.0,0,0.0,1550,1035,66.8,515,33.2,2.36,1609,1550,96.3,59,3.7,931,60.1,619,39.9,99,1072,98.8,75.0,3457,25,0.7,102105,5.6,2.9,3661,368,10.1,559,699,197,5.7,19.1,15.3,28,8,0,0,8,221,634,32,628200.0,709,295,136,92,38,148,11,1379.0,619,87,133,78,61,86,174,0,2457,2385,72,582,11,41,44,61,139,331,116,370,189,248,2.9,18.82,8.27,7.97,0,0,28.1,20.9,second
