,TRACTCE10,NAME10,GEOID10,MEDIAN_HH_INC_PAST_12MO_DOLLAR,income_quintile
0,2500,25.0,53033002500,107401,top
1,2600,26.0,53033002600,106193,top
2,5600,56.0,53033005600,167368,top
3,6800,68.0,53033006800,117067,top
4,6000,60.0,53033006000,101680,second
5,5900,59.0,53033005900,103369,second
6,5700,57.0,53033005700,111974,top
7,4900,49.0,53033004900,77075,middle
8,5801,58.01,53033005801,75523,middle
9,4800,48.0,53033004800,112328,top
10,4700,47.0,53033004700,79162,middle
11,3200,32.0,53033003200,79141,middle
12,3500,35.0,53033003500,90066,middle
13,3400,34.0,53033003400,102105,second
14,3300,33.0,53033003300,99547,second
15,2800,28.0,53033002800,119875,top
16,2900,29.0,53033002900,104375,second
17,3000,30.0,53033003000,100500,second
18,3100,31.0,53033003100,104934,second
19,1701,17.01,53033001701,69190,fourth
20,1702,17.02,53033001702,69177,fourth
21,1600,16.0,53033001600,117250,top
22,1500,15.0,53033001500,96019,second
23,200,2.0,53033000200,67397,fourth
24,2700,27.0,53033002700,121807,top
25,2200,22.0,53033002200,144318,top
26,2400,24.0,53033002400,109402,top
27,2000,20.0,53033002000,95469,second
28,2100,21.0,53033002100,95515,second
29,1900,19.0,53033001900,75652,middle
30,1800,18.0,53033001800,89260,middle
31,900,9.0,53033000900,135625,top
32,1300,13.0,53033001300,70764,fourth
33,1100,11.0,53033001100,78542,middle
34,1000,10.0,53033001000,103750,second
35,1200,12.0,53033001200,46358,bottom
36,800,8.0,53033000800,97344,second
37,600,6.0,53033000600,61536,fourth
38,700,7.0,53033000700,52957,bottom
39,100,1.0,53033000100,50030,bottom
40,300,3.0,53033000300,73098,fourth
41,4100,41.0,53033004100,168415,top
42,5200,52.0,53033005200,41847,bottom
43,5100,51.0,53033005100,105580,second
44,5301,53.01,53033005301,20401,bottom
45,5000,50.0,53033005000,79980,middle
46,4200,42.0,53033004200,129226,top
47,4301,43.01,53033004301,85357,middle
48,4302,43.02,53033004302,26886,bottom
49,4000,40.0,53033004000,76250,middle
50,4400,44.0,53033004400,56725,bottom
51,4500,45.0,53033004500,108304,top
52,4600,46.0,53033004600,125547,top
53,3600,36.0,53033003600,69408,fourth
54,3900,39.0,53033003900,109659,top
55,3800,38.0,53033003800,99722,second
56,1400,14.0,53033001400,71144,fourth
57,402,4.02,53033000402,64972,fourth
58,401,4.01,53033000401,32568,bottom
59,7800,78.0,53033007800,155848,top
60,9200,92.0,53033009200,21868,bottom
61,8800,88.0,53033008800,95455,second
62,8700,87.0,53033008700,69583,fourth
63,8600,86.0,53033008600,50774,bottom
64,8500,85.0,53033008500,38713,bottom
65,8100,81.0,53033008100,79800,middle
66,8200,82.0,53033008200,79167,middle
67,8300,83.0,53033008300,61058,fourth
68,8400,84.0,53033008400,52066,bottom
69,7900,79.0,53033007900,76652,middle
70,7500,75.0,53033007500,65396,fourth
71,7700,77.0,53033007700,113198,top
72,7300,73.0,53033007300,94326,second
73,7402,74.02,53033007402,51225,bottom
74,7600,76.0,53033007600,74688,fourth
75,7401,74.01,53033007401,65217,fourth
76,6300,63.0,53033006300,134811,top
77,6200,62.0,53033006200,160625,top
78,6500,65.0,53033006500,96220,second
79,6600,66.0,53033006600,88854,middle
80,6400,64.0,53033006400,162532,top
81,6700,67.0,53033006700,106143,second
82,6100,61.0,53033006100,104521,second
83,5400,54.0,53033005400,95703,second
84,5302,53.02,53033005302,10521,bottom
85,11700,117.0,53033011700,79211,middle
86,11800,118.0,53033011800,49264,bottom
87,26400,264.0,53033026400,50773,bottom
88,26500,265.0,53033026500,32106,bottom
89,11002,110.02,53033011002,51031,bottom
90,11001,110.01,53033011001,24725,bottom
91,11102,111.02,53033011102,73214,fourth
92,11101,111.01,53033011101,52311,bottom
93,10200,102.0,53033010200,99483,second
94,10300,103.0,53033010300,60444,fourth
95,10401,104.01,53033010401,58342,fourth
96,10402,104.02,53033010402,75972,middle
97,9300,93.0,53033009300,74696,fourth
98,10001,100.01,53033010001,67292,fourth
99,10100,101.0,53033010100,64161,fourth
100,9500,95.0,53033009500,100714,second
101,10002,100.02,53033010002,70048,fourth
102,9400,94.0,53033009400,65633,fourth
103,8900,89.0,53033008900,87250,middle
104,9000,90.0,53033009000,47428,bottom
105,9100,91.0,53033009100,31250,bottom
106,12100,121.0,53033012100,115000,top
107,12000,120.0,53033012000,100855,second
108,11402,114.02,53033011402,50377,bottom
109,11600,116.0,53033011600,103835,second
110,11300,113.0,53033011300,55000,bottom
111,11500,115.0,53033011500,90701,middle
112,11401,114.01,53033011401,62090,fourth
113,10800,108.0,53033010800,85885,middle
114,10701,107.01,53033010701,62826,fourth
115,10600,106.0,53033010600,90306,middle
116,10702,107.02,53033010702,41416,bottom
117,10500,105.0,53033010500,77760,middle
118,9900,99.0,53033009900,75000,middle
119,9702,97.02,53033009702,114741,top
120,9701,97.01,53033009701,106821,top
121,9800,98.0,53033009800,105110,second
122,9600,96.0,53033009600,92888,middle
123,8001,80.01,53033008001,98250,second
124,8002,80.02,53033008002,55136,bottom
125,7200,72.0,53033007200,98324,second
126,7100,71.0,53033007100,81454,middle
127,5802,58.02,53033005802,73836,fourth
128,7000,70.0,53033007000,73317,fourth
129,6900,69.0,53033006900,109792,top
130,26001,260.01,53033026001,86318,middle
131,500,5.0,53033000500,135524,top
132,10900,109.0,53033010900,58611,fourth
133,11200,112.0,53033011200,35120,bottom
134,11900,119.0,53033011900,86603,middle
